Year,Geography,Measure,Value
2019,k02000001,mean-temperature,9.39
2020,k02000001,mean-temperature,9.61
2021,k02000001,mean-temperature,9.28
2022,k02000001,mean-temperature,10.03
2019,e92000001,mean-temperature,10.23
2020,e92000001,mean-temperature,10.57
2021,e92000001,mean-temperature,10.07
2022,e92000001,mean-temperature,10.94
2019,w92000004,mean-temperature,9.66
2020,w92000004,mean-temperature,9.91
2021,w92000004,mean-temperature,9.61
2022,w92000004,mean-temperature,10.23
2019,s92000003,mean-temperature,7.91
2020,s92000003,mean-temperature,7.98
2021,s92000003,mean-temperature,7.83
2022,s92000003,mean-temperature,8.5
2019,n92000002,mean-temperature,9.37
2020,n92000002,mean-temperature,9.29
2021,n92000002,mean-temperature,9.58
2022,n92000002,mean-temperature,9.85
2019,k02000001,temperature-trend,9.58
2020,k02000001,temperature-trend,9.58
2021,k02000001,temperature-trend,9.58
2022,k02000001,temperature-trend,9.58
2019,e92000001,temperature-trend,10.45
2020,e92000001,temperature-trend,10.45
2021,e92000001,temperature-trend,10.45
2022,e92000001,temperature-trend,10.45
2019,w92000004,temperature-trend,9.85
2020,w92000004,temperature-trend,9.85
2021,w92000004,temperature-trend,9.85
2022,w92000004,temperature-trend,9.86
2019,s92000003,temperature-trend,8.06
2020,s92000003,temperature-trend,8.06
2021,s92000003,temperature-trend,8.05
2022,s92000003,temperature-trend,8.06
2019,n92000002,temperature-trend,9.52
2020,n92000002,temperature-trend,9.52
2021,n92000002,temperature-trend,9.52
2022,n92000002,temperature-trend,9.52
