Period,Geography,Measure,Observation
1884,United Kingdom,Annual Mean Temperature,8.48
1885,United Kingdom,Annual Mean Temperature,7.36
1886,United Kingdom,Annual Mean Temperature,7.45
1887,United Kingdom,Annual Mean Temperature,7.51
1888,United Kingdom,Annual Mean Temperature,7.28
1889,United Kingdom,Annual Mean Temperature,8.02
1890,United Kingdom,Annual Mean Temperature,7.96
1891,United Kingdom,Annual Mean Temperature,7.6
1892,United Kingdom,Annual Mean Temperature,7.02
1893,United Kingdom,Annual Mean Temperature,8.78
1894,United Kingdom,Annual Mean Temperature,8.19
1895,United Kingdom,Annual Mean Temperature,7.55
1896,United Kingdom,Annual Mean Temperature,8.26
1897,United Kingdom,Annual Mean Temperature,8.23
1898,United Kingdom,Annual Mean Temperature,8.88
1899,United Kingdom,Annual Mean Temperature,8.56
1900,United Kingdom,Annual Mean Temperature,8.29
1901,United Kingdom,Annual Mean Temperature,8.08
1902,United Kingdom,Annual Mean Temperature,7.73
1903,United Kingdom,Annual Mean Temperature,8.02
1904,United Kingdom,Annual Mean Temperature,7.99
1905,United Kingdom,Annual Mean Temperature,8.19
1906,United Kingdom,Annual Mean Temperature,8.29
1907,United Kingdom,Annual Mean Temperature,7.83
1908,United Kingdom,Annual Mean Temperature,8.31
1909,United Kingdom,Annual Mean Temperature,7.52
1910,United Kingdom,Annual Mean Temperature,8.09
1911,United Kingdom,Annual Mean Temperature,8.81
1912,United Kingdom,Annual Mean Temperature,8.17
1913,United Kingdom,Annual Mean Temperature,8.59
1914,United Kingdom,Annual Mean Temperature,8.7
1915,United Kingdom,Annual Mean Temperature,7.81
1916,United Kingdom,Annual Mean Temperature,8.1
1917,United Kingdom,Annual Mean Temperature,7.52
1918,United Kingdom,Annual Mean Temperature,8.33
1919,United Kingdom,Annual Mean Temperature,7.42
1920,United Kingdom,Annual Mean Temperature,8.46
1921,United Kingdom,Annual Mean Temperature,9.24
1922,United Kingdom,Annual Mean Temperature,7.63
1923,United Kingdom,Annual Mean Temperature,7.97
1924,United Kingdom,Annual Mean Temperature,8.19
1925,United Kingdom,Annual Mean Temperature,8.12
1926,United Kingdom,Annual Mean Temperature,8.59
1927,United Kingdom,Annual Mean Temperature,8.07
1928,United Kingdom,Annual Mean Temperature,8.35
1929,United Kingdom,Annual Mean Temperature,7.98
1930,United Kingdom,Annual Mean Temperature,8.29
1931,United Kingdom,Annual Mean Temperature,7.98
1932,United Kingdom,Annual Mean Temperature,8.35
1933,United Kingdom,Annual Mean Temperature,8.82
1934,United Kingdom,Annual Mean Temperature,8.87
1935,United Kingdom,Annual Mean Temperature,8.52
1936,United Kingdom,Annual Mean Temperature,8.26
1937,United Kingdom,Annual Mean Temperature,8.33
1938,United Kingdom,Annual Mean Temperature,8.92
