Year,Geography,Measure,Value
1960,K02000001,Heating Degree Days,2650.4
1961,K02000001,Heating Degree Days,2591.79
1962,K02000001,Heating Degree Days,2958.79
1963,K02000001,Heating Degree Days,3029.19
1964,K02000001,Heating Degree Days,2743.07
1965,K02000001,Heating Degree Days,2895.98
1966,K02000001,Heating Degree Days,2762.06
1967,K02000001,Heating Degree Days,2675.16
1968,K02000001,Heating Degree Days,2785.07
1969,K02000001,Heating Degree Days,2832.05
1970,K02000001,Heating Degree Days,2759.13
1971,K02000001,Heating Degree Days,2582.79
1972,K02000001,Heating Degree Days,2777.02
1973,K02000001,Heating Degree Days,2706.76
1974,K02000001,Heating Degree Days,2673.79
1975,K02000001,Heating Degree Days,2631.48
1976,K02000001,Heating Degree Days,2689.11
1977,K02000001,Heating Degree Days,2737.0
1978,K02000001,Heating Degree Days,2745.72
1979,K02000001,Heating Degree Days,2981.83
1980,K02000001,Heating Degree Days,2747.65
1981,K02000001,Heating Degree Days,2802.38
1982,K02000001,Heating Degree Days,2632.2
1983,K02000001,Heating Degree Days,2610.29
1984,K02000001,Heating Degree Days,2688.22
1985,K02000001,Heating Degree Days,2900.14
1986,K02000001,Heating Degree Days,2948.11
1987,K02000001,Heating Degree Days,2832.18
1988,K02000001,Heating Degree Days,2557.2
1989,K02000001,Heating Degree Days,2476.84
1990,K02000001,Heating Degree Days,2403.76
1991,K02000001,Heating Degree Days,2679.15
1992,K02000001,Heating Degree Days,2622.97
1993,K02000001,Heating Degree Days,2702.87
1994,K02000001,Heating Degree Days,2544.87
1995,K02000001,Heating Degree Days,2546.35
1996,K02000001,Heating Degree Days,2816.64
1997,K02000001,Heating Degree Days,2404.23
1998,K02000001,Heating Degree Days,2431.74
1999,K02000001,Heating Degree Days,2402.57
2000,K02000001,Heating Degree Days,2478.53
2001,K02000001,Heating Degree Days,2596.99
2002,K02000001,Heating Degree Days,2346.54
2003,K02000001,Heating Degree Days,2417.72
2004,K02000001,Heating Degree Days,2381.76
2005,K02000001,Heating Degree Days,2396.73
2006,K02000001,Heating Degree Days,2353.81
2007,K02000001,Heating Degree Days,2290.78
2008,K02000001,Heating Degree Days,2508.79
2009,K02000001,Heating Degree Days,2478.45
2010,K02000001,Heating Degree Days,2909.38
2011,K02000001,Heating Degree Days,2290.83
2012,K02000001,Heating Degree Days,2602.56
2013,K02000001,Heating Degree Days,2653.23
2014,K02000001,Heating Degree Days,2220.18
2015,K02000001,Heating Degree Days,2427.45
2016,K02000001,Heating Degree Days,2452.86
2017,K02000001,Heating Degree Days,2336.71
2018,K02000001,Heating Degree Days,2448.87
2019,K02000001,Heating Degree Days,2416.51
2020,K02000001,Heating Degree Days,2345.17
2021,K02000001,Heating Degree Days,2454.32
2022,K02000001,Heating Degree Days,2238.64
1960,E92000001,Heating Degree Days,2431.65
1961,E92000001,Heating Degree Days,2354.85
1962,E92000001,Heating Degree Days,2796.83
1963,E92000001,Heating Degree Days,2856.49
1964,E92000001,Heating Degree Days,2573.5
1965,E92000001,Heating Degree Days,2662.07
1966,E92000001,Heating Degree Days,2503.5
1967,E92000001,Heating Degree Days,2452.24
1968,E92000001,Heating Degree Days,2547.3
1969,E92000001,Heating Degree Days,2613.81
1970,E92000001,Heating Degree Days,2523.7
1971,E92000001,Heating Degree Days,2427.69
1972,E92000001,Heating Degree Days,2559.16
1973,E92000001,Heating Degree Days,2495.15
1974,E92000001,Heating Degree Days,2452.75
1975,E92000001,Heating Degree Days,2444.95
1976,E92000001,Heating Degree Days,2493.01
1977,E92000001,Heating Degree Days,2488.49
1978,E92000001,Heating Degree Days,2530.17
1979,E92000001,Heating Degree Days,2736.44
1980,E92000001,Heating Degree Days,2546.68
1981,E92000001,Heating Degree Days,2578.26
1982,E92000001,Heating Degree Days,2403.56
1983,E92000001,Heating Degree Days,2392.13
1984,E92000001,Heating Degree Days,2485.71
1985,E92000001,Heating Degree Days,2677.74
1986,E92000001,Heating Degree Days,2720.23
1987,E92000001,Heating Degree Days,2618.34
1988,E92000001,Heating Degree Days,2341.53
1989,E92000001,Heating Degree Days,2216.75
1990,E92000001,Heating Degree Days,2148.5
1991,E92000001,Heating Degree Days,2500.17
1992,E92000001,Heating Degree Days,2387.91
1993,E92000001,Heating Degree Days,2454.06
1994,E92000001,Heating Degree Days,2259.46
1995,E92000001,Heating Degree Days,2291.08
1996,E92000001,Heating Degree Days,2639.48
1997,E92000001,Heating Degree Days,2203.43
1998,E92000001,Heating Degree Days,2184.09
1999,E92000001,Heating Degree Days,2140.01
2000,E92000001,Heating Degree Days,2226.08
2001,E92000001,Heating Degree Days,2363.12
2002,E92000001,Heating Degree Days,2091.93
2003,E92000001,Heating Degree Days,2221.94
2004,E92000001,Heating Degree Days,2165.66
2005,E92000001,Heating Degree Days,2189.77
2006,E92000001,Heating Degree Days,2123.4
2007,E92000001,Heating Degree Days,2058.56
2008,E92000001,Heating Degree Days,2270.16
2009,E92000001,Heating Degree Days,2249.45
2010,E92000001,Heating Degree Days,2681.06
2011,E92000001,Heating Degree Days,2021.44
